Serial Number,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion,Age Group,Occupation Category
847,1,Norris Shores,Katy,Ball,52,Wife,Married,Female,"Runner, broadcasting/film/video",Not Specified,Christian,50-54,Creative Arts
846,1,Norris Shores,Colin,Ball,53,Head,Married,Male,Museum education officer,Not Specified,Christian,50-54,Education
3648,1,Morris Plaza,Danielle,Barker,75,Head,Married,Female,Retired Museum education officer,Not Specified,Unknown,75-79,Retired
3649,1,Morris Plaza,Dylan,Barker,78,Husband,Married,Male,Retired Chemical engineer,Not Specified,Unknown,75-79,Retired
4750,1,February Lodge,Justin,Barnes,9,Son,Minor,Male,Student,Not Specified,Unknown,5-9,Student
4749,1,February Lodge,Ian,Barnes,13,Son,Minor,Male,Student,Not Specified,Unknown,10-14,Student
4747,1,February Lodge,Shannon,Barnes,17,Daughter,Minor,Female,Student,Not Specified,Unknown,15-19,Student
4748,1,February Lodge,Ashleigh,Barnes,17,Daughter,Minor,Female,Student,Not Specified,Unknown,15-19,Student
4746,1,February Lodge,Tracy,Barnes,21,Daughter,Single,Female,University Student,Not Specified,Unknown,20-24,Tech
4744,1,February Lodge,Connor,Barnes,23,Son,Divorced,Male,Arboriculturist,Not Specified,Unknown,20-24,Other
4745,1,February Lodge,Cheryl,Barnes,23,Daughter,Divorced,Female,Systems analyst,Not Specified,Unknown,20-24,Tech
4743,1,February Lodge,Diana,Barnes,24,Daughter,Single,Female,Brewing technologist,Not Specified,Unknown,20-24,Tech
4742,1,February Lodge,Hayley,Barnes,25,Daughter,Single,Female,Museum/gallery conservator,Not Specified,Unknown,25-29,Other
4741,1,February Lodge,Zoe,Barnes,29,Daughter,Single,Female,Field seismologist,Not Specified,Unknown,25-29,Other
4739,1,February Lodge,Anne,Barnes,59,Head,Single,Female,Special educational needs teacher,Not Specified,Unknown,55-59,Education
7278,1,Lancaster Lane,Sian,Barnett,23,Lodger,Single,Female,Media buyer,Not Specified,Catholic,20-24,Creative Arts
1717,1,Davies Island,Marilyn,Bartlett,82,Head,Married,Female,Retired Drilling engineer,Not Specified,Christian,80-84,Retired
1718,1,Davies Island,Thomas,Bartlett,84,Husband,Married,Male,Retired International aid/development worker,Not Specified,Unknown,80-84,Retired
6778,1,Yellow Roads,Marian,Baxter,34,Head,Unknown,Female,Tourism officer,Not Specified,Christian,30-34,Management
6779,1,Yellow Roads,Eric,Baxter,36,Husband,Married,Male,Forensic psychologist,Not Specified,Unknown,35-39,Other
986,1,Wilson Canyon,Timothy,Bell,22,Head,Single,Male,University Student,Not Specified,Unknown,20-24,Tech
1777,1,Lloyd Avenue,Cheryl,Bird,26,Head,Single,Female,Ship broker,Not Specified,Unknown,25-29,Other
783,1,Rhubarb Street,Natasha,Bishop,24,Unknown,Single,Female,Osteopath,Not Specified,Methodist,20-24,Other
782,1,Rhubarb Street,Joanne,Bishop,27,Daughter,Single,Female,Dietitian,Not Specified,Methodist,25-29,Tech
780,1,Rhubarb Street,Eileen,Bishop,58,Head,Married,Female,Building control surveyor,Not Specified,Methodist,55-59,Other
781,1,Rhubarb Street,Joe,Bishop,62,Husband,Married,Male,"Teacher, secondary school",Not Specified,Methodist,60-64,Education
10386,1,Threpenny Abbey,Sylvia,Bolton,37,Head,Married,Female,Television production assistant,Not Specified,Catholic,35-39,Clerical
10387,1,Threpenny Abbey,Ben,Bolton,40,Husband,Married,Male,Lawyer,Not Specified,Unknown,40-44,Other
9565,1,Dublin Avenue,Howard,Bond,41,Head,Single,Male,Electrical engineer,Not Specified,Unknown,40-44,Engineering
6783,1,Yellow Roads,Nigel,Bradley,48,Lodger,Divorced,Male,Hydrologist,Not Specified,Unknown,45-49,Other
4430,1,Newry Locks,Mitchell,Brown,22,Partner,Single,Male,University Student,Not Specified,Methodist,20-24,Tech
10454,1,Brass Barracks,Emily,Bryan,9,Daughter,Minor,Female,Student,Not Specified,Unknown,5-9,Student
3312,1,Grape Drive,Daniel,Bryan,14,Son,Minor,Male,Student,Not Specified,Unknown,10-14,Student
10453,1,Brass Barracks,Benjamin,Bryan,31,Son,Single,Male,"Librarian, public",Not Specified,Christian,30-34,Other
10451,1,Brass Barracks,Ian,Bryan,33,Son,Single,Male,"Designer, exhibition/display",Not Specified,Christian,30-34,Tech
10452,1,Brass Barracks,Guy,Bryan,33,Son,Single,Male,Training and development officer,Not Specified,Christian,30-34,Management
10450,1,Brass Barracks,Danny,Bryan,34,Son,Divorced,Male,Fisheries officer,Not Specified,Unknown,30-34,Management
10448,1,Brass Barracks,Alan,Bryan,37,Son,Divorced,Male,Public house manager,Not Specified,Christian,35-39,Management
10449,1,Brass Barracks,Jeremy,Bryan,37,Son,Divorced,Male,Manufacturing engineer,Not Specified,Unknown,35-39,Engineering
10447,1,Brass Barracks,Paul,Bryan,39,Son,Single,Male,Dance movement psychotherapist,Not Specified,Christian,35-39,Medical
10446,1,Brass Barracks,Debra,Bryan,42,Daughter,Single,Female,"Engineer, materials",Not Specified,Unknown,40-44,Engineering
3310,1,Grape Drive,Leanne,Bryan,51,Head,Married,Female,Health visitor,Not Specified,Unknown,50-54,Tech
3311,1,Grape Drive,Liam,Bryan,56,Husband,Married,Male,"Designer, ceramics/pottery",Not Specified,Unknown,55-59,Creative Arts
10444,1,Brass Barracks,Kerry,Bryan,65,Head,Married,Female,Air traffic controller,Not Specified,Christian,65-69,Other
10445,1,Brass Barracks,Charlie,Bryan,69,Husband,Married,Male,Retired Futures trader,Not Specified,Unknown,65-69,Retired
1360,1,Mistletoe Crescent,Jenna,Burgess,36,Wife,Married,Female,Licensed conveyancer,Not Specified,Unknown,35-39,Other
1359,1,Mistletoe Crescent,Jacob,Burgess,38,Head,Married,Male,"Producer, television/film/video",Not Specified,Catholic,35-39,Creative Arts
953,1,Baker Road,Barbara,Campbell,42,Head,Single,Female,"Engineer, broadcasting (operations)",Not Specified,Unknown,40-44,Engineering
1778,1,Lloyd Avenue,Maureen,Carter,19,Head,Single,Female,University Student,Not Specified,Catholic,15-19,Tech
1014,1,Paper Cape,Gregory,Chamberlain,29,Son,Single,Male,Tourism officer,Not Specified,Methodist,25-29,Management
1013,1,Paper Cape,Teresa,Chamberlain,66,Head,Divorced,Female,Lawyer,Not Specified,Unknown,65-69,Other
10416,1,Derby Chalet,Amelia,Clarke,4,Minor,Minor,Female,Child,Not Specified,Unknown,0-4,Child
10415,1,Derby Chalet,Gregory,Clarke,5,Minor,Minor,Male,Student,Not Specified,Unknown,5-9,Student
10414,1,Derby Chalet,Beth,Clarke,9,Minor,Minor,Female,Student,Not Specified,Unknown,5-9,Student
10413,1,Derby Chalet,Marilyn,Clarke,15,Minor,Minor,Female,Student,Not Specified,Unknown,15-19,Student
10412,1,Derby Chalet,Mitchell,Clarke,18,Unknown,Single,Male,Student,Not Specified,Christian,15-19,Student
9657,1,Oyster Squares,Trevor,Clarke,43,Head,Single,Male,Museum education officer,Not Specified,Methodist,40-44,Education
10410,1,Derby Chalet,Debra,Clarke,45,Unknown,Married,Female,"Nurse, mental health",Not Specified,Christian,45-49,Medical
10411,1,Derby Chalet,Leonard,Clarke,48,Unknown,Married,Male,Data scientist,Not Specified,Christian,45-49,Science
9569,1,Dublin Avenue,Hilary,Clarke,55,Unknown,Single,Female,"Psychologist, educational",Not Specified,Methodist,55-59,Education
116,1,Spider Street,Bryan,Collins,25,Head,Single,Male,Interior and spatial designer,Not Specified,Unknown,25-29,Creative Arts
538,1,Marsh Bypass,Mohammed,Cook,78,Husband,Married,Male,Retired Land/geomatics surveyor,Not Specified,Unknown,75-79,Retired
537,1,Marsh Bypass,Amanda,Cook,79,Head,Married,Female,Retired Computer games developer,Not Specified,Christian,75-79,Retired
6782,1,Yellow Roads,Hollie,Cooke,45,Lodger,Single,Female,Comptroller,Not Specified,Unknown,45-49,Other
9030,1,Duck Lodge,Jason,Cross,40,Head,Single,Male,"Sound technician, broadcasting/film/video",Not Specified,Catholic,40-44,Tech
7998,1,Hereford Street,Maurice,Davies,12,Son,Minor,Male,Student,Not Specified,Unknown,10-14,Student
7997,1,Hereford Street,Jean,Davies,29,Head,Divorced,Female,Equality and diversity officer,Not Specified,Unknown,25-29,Tech
9566,1,Dublin Avenue,Duncan,Davies,41,Unknown,Unknown,Male,Immunologist,Not Specified,Unknown,40-44,Other
1033,1,St.John Falls,Chelsea,Davies,70,Head,Married,Female,Retired Social worker,Not Specified,Unknown,70-74,Retired
1034,1,St.John Falls,Toby,Davies,70,Husband,Married,Male,Retired Commercial/residential surveyor,Not Specified,Unknown,70-74,Retired
7999,1,Hereford Street,Hayley,Davies,80,Daughter,Unknown,Female,Student,Not Specified,Unknown,80-84,Student
10077,1,October Road,Hollie,Davis,7,Daughter,Minor,Female,Student,Not Specified,Methodist,5-9,Student
10076,1,October Road,Kate,Davis,9,Daughter,Minor,Female,Student,Not Specified,Methodist,5-9,Student
10074,1,October Road,Pamela,Davis,39,Head,Married,Female,Conference centre manager,Not Specified,Methodist,35-39,Management
10075,1,October Road,Gregory,Davis,41,Husband,Married,Male,Personnel officer,Not Specified,Unknown,40-44,Management
8521,1,Oaktree Road,Natalie,Day,78,Head,Widowed,Female,Retired Dispensing optician,Not Specified,Christian,75-79,Retired
2923,1,Tannery Ways,Charles,Dixon,17,Son,Minor,Male,Student,Not Specified,Catholic,15-19,Student
2922,1,Tannery Ways,Donna,Dixon,18,Daughter,Single,Female,Student,Not Specified,Catholic,15-19,Student
2920,1,Tannery Ways,Janice,Dixon,48,Head,Single,Female,"Accountant, chartered",Not Specified,Catholic,45-49,Finance
10429,1,Elvis Rectory,Albert,Dobson,17,Son,Minor,Male,Student,Not Specified,Christian,15-19,Student
10428,1,Elvis Rectory,Keith,Dobson,21,Son,Divorced,Male,University Student,Not Specified,Christian,20-24,Tech
10427,1,Elvis Rectory,Simon,Dobson,25,Son,Divorced,Male,Cartographer,Not Specified,Christian,25-29,Other
10425,1,Elvis Rectory,Charlene,Dobson,60,Head,Married,Female,Unemployed,Not Specified,Christian,60-64,Unemployed
10426,1,Elvis Rectory,Damien,Dobson,62,Husband,Married,Male,"Engineer, water",Not Specified,Unknown,60-64,Engineering
6656,1,Springbox Lane,Carol,Edwards,22,Daughter,Single,Female,University Student,Not Specified,Catholic,20-24,Tech
6655,1,Springbox Lane,Joel,Edwards,54,Husband,Married,Male,Warehouse manager,Not Specified,Catholic,50-54,Management
6654,1,Springbox Lane,Rebecca,Edwards,56,Head,Married,Female,"Presenter, broadcasting",Not Specified,Catholic,55-59,Media & Entertainment
4674,1,Guild Fork,Sheila,Edwards,59,Head,Single,Female,Equities trader,Not Specified,Christian,55-59,Tech
4740,1,February Lodge,Jeremy,Edwards,61,Partner,Single,Male,Hydrographic surveyor,Not Specified,Unknown,60-64,Other
9031,1,Duck Lodge,Kieran,Elliott,24,Unknown,Single,Male,Multimedia programmer,Not Specified,Methodist,20-24,Tech
5973,1,Strawberry Lights,Jade,Elliott,30,Head,Married,Female,Commercial/residential surveyor,Not Specified,Unknown,30-34,Other
5974,1,Strawberry Lights,Declan,Elliott,32,Husband,Married,Male,"Engineer, civil (consulting)",Not Specified,Unknown,30-34,Engineering
967,1,Hughes Isle,Christopher,Evans,52,Head,Married,Male,Neurosurgeon,Not Specified,Unknown,50-54,Medical
968,1,Hughes Isle,Naomi,Evans,53,Wife,Married,Female,Unemployed,Not Specified,Unknown,50-54,Unemployed
10442,1,Morris Keep,Marcus,Evans-Welch,1,Son,Minor,Male,Child,Not Specified,Unknown,0-4,Child
4682,1,Williams Street,Liam,Faulkner,9,Son,Minor,Male,Student,Not Specified,Christian,5-9,Student
4681,1,Williams Street,Aimee,Faulkner,41,Head,Single,Female,Clinical embryologist,Not Specified,Christian,40-44,Medical
9743,1,CherryChestnutnail Avenue,Barry,Fisher,11,Son,Minor,Male,Student,Not Specified,Catholic,10-14,Student
9741,1,CherryChestnutnail Avenue,Amber,Fisher,45,Head,Single,Female,Homeopath,Not Specified,Catholic,45-49,Other
1,1,Williams Lane,Nicola,Fleming,26,Wife,Married,Female,Glass blower/designer,Not Specified,Unknown,25-29,Creative Arts
0,1,Williams Lane,Garry,Fleming,28,Head,Married,Male,Film/video editor,Not Specified,Unknown,25-29,Tech
8806,1,Jones Mission,Henry,Flynn,32,Partner,Single,Male,Barrister's clerk,Not Specified,Unknown,30-34,Clerical
6712,1,Zigzag Mall,Dale,Francis,28,Head,Divorced,Male,Student,Not Specified,Jewish,25-29,Student
10273,1,Calendar Ports,Dawn,Giles,47,Head,Single,Female,Dispensing optician,Not Specified,Christian,45-49,Other
7277,1,Lancaster Lane,Cameron,Graham,2,Son,Minor,Male,Child,Not Specified,Methodist,0-4,Child
7276,1,Lancaster Lane,Graeme,Graham,39,Head,Single,Male,Public librarian,Not Specified,Methodist,35-39,Other
4607,1,Sagittarius Field,Owen,Green,36,Partner,Single,Male,Seismic interpreter,Not Specified,Catholic,35-39,Other
1630,1,Inner Avenue,Lawrence,Hall,68,Head,Widowed,Male,Retired Magazine features editor,Not Specified,Christian,65-69,Retired
10116,1,Bentley Lane,Clare,Hardy,43,Head,Married,Female,Unemployed,Not Specified,Unknown,40-44,Unemployed
10117,1,Bentley Lane,Norman,Hardy,49,Husband,Married,Male,Fitness centre manager,Not Specified,Unknown,45-49,Tech
6682,1,Bulldog Avenue,Katy,Hardy,71,Wife,Married,Female,"Retired Buyer, industrial",Not Specified,Unknown,70-74,Retired
6681,1,Bulldog Avenue,Clifford,Hardy,79,Head,Married,Male,Retired Company secretary,Not Specified,Unknown,75-79,Retired
10392,1,Aberdeen House,Michael,Harrison,13,Son,Minor,Male,Student,Not Specified,Unknown,10-14,Student
10391,1,Aberdeen House,Kate,Harrison,17,Daughter,Minor,Female,Student,Not Specified,Unknown,15-19,Student
10390,1,Aberdeen House,Peter,Harrison,19,Son,Single,Male,University Student,Not Specified,Unknown,15-19,Tech
10388,1,Aberdeen House,Margaret,Harrison,52,Head,Married,Female,Ceramics designer,Not Specified,Unknown,50-54,Creative Arts
10389,1,Aberdeen House,Kim,Harrison,55,Wife,Married,Female,Maintenance engineer,Not Specified,Unknown,55-59,Engineering
2290,1,Bradford Circles,Peter,Hill,11,Son,Minor,Male,Student,Not Specified,Catholic,10-14,Student
2291,1,Bradford Circles,Gerald,Hill,11,Son,Minor,Male,Student,Not Specified,Catholic,10-14,Student
2288,1,Bradford Circles,Bradley,Hill,14,Son,Minor,Male,Student,Not Specified,Catholic,10-14,Student
2289,1,Bradford Circles,Albert,Hill,14,Son,Minor,Male,Student,Not Specified,Catholic,10-14,Student
2287,1,Bradford Circles,Carole,Hill,56,Head,Single,Female,Commissioning editor,Not Specified,Catholic,55-59,Tech
1191,1,Winchester Field,Edward,Hodgson,18,Head,Single,Male,University Student,Not Specified,Unknown,15-19,Tech
8805,1,Jones Mission,Donna,Holden,28,Head,Single,Female,Retail manager,Not Specified,Unknown,25-29,Management
9742,1,CherryChestnutnail Avenue,Luke,Holland,47,Partner,Single,Male,"Teacher, primary school",Not Specified,Catholic,45-49,Education
9627,1,Clementine Hill,Angela,Holmes,54,Head,Single,Female,"Journalist, newspaper",Not Specified,Unknown,50-54,Media & Entertainment
10417,1,Hayward Manorhouse,Fiona,Howard,27,Head,Single,Female,Heritage manager,Not Specified,Catholic,25-29,Tech
6999,1,Allan Mountains,Ashley,Howe,38,Son,Single,Male,Ceramics designer,Not Specified,Unknown,35-39,Creative Arts
6998,1,Allan Mountains,Arthur,Howe,42,Son,Divorced,Male,Unemployed,Not Specified,Unknown,40-44,Unemployed
6997,1,Allan Mountains,Dorothy,Howe,70,Head,Widowed,Female,Unemployed,Not Specified,Unknown,70-74,Unemployed
10023,1,Simmons Road,Paula,Hughes,57,Wife,Married,Female,Armed forces logistics/support/administrative officer,Not Specified,Christian,55-59,Clerical
10022,1,Simmons Road,Andrew,Hughes,58,Head,Married,Male,"Scientist, water quality",Not Specified,Christian,55-59,Tech
9324,1,January Knolls,Kate,Hughes,63,Head,Married,Female,"Loss adjuster, chartered",Not Specified,Unknown,60-64,Other
9325,1,January Knolls,Denis,Hughes,64,Husband,Married,Male,Ophthalmologist,Not Specified,Unknown,60-64,Other
10418,1,Hayward Manorhouse,Stuart,Hunt,39,Head,Single,Male,"Engineer, chemical",Not Specified,Unknown,35-39,Engineering
7800,1,Inverness Street,Shannon,Jackson,10,Daughter,Minor,Female,Student,Not Specified,Catholic,10-14,Student
7799,1,Inverness Street,Jean,Jackson,24,Daughter,Single,Female,Stage manager,Not Specified,Unknown,20-24,Management
7797,1,Inverness Street,Grace,Jackson,46,Head,Single,Female,"Producer, radio",Not Specified,Catholic,45-49,Media & Entertainment
6781,1,Yellow Roads,Howard,Johnson-Baxter,0,Son,Minor,Male,Child,Not Specified,Unknown,0-4,Child
6780,1,Yellow Roads,Guy,Johnson-Baxter,3,Son,Minor,Male,Child,Not Specified,Unknown,0-4,Child
10419,1,Hayward Manorhouse,Fiona,Jones,24,Unknown,Single,Female,Soil scientist,Not Specified,Unknown,20-24,Science
6740,1,Duck Ville,Mark,Jones,29,Son,Single,Male,Environmental education officer,Not Specified,Unknown,25-29,Education
6739,1,Duck Ville,Philip,Jones,33,Son,Single,Male,Chief Executive Officer,Not Specified,Christian,30-34,Management
6738,1,Duck Ville,Cheryl,Jones,59,Head,Divorced,Female,Unemployed,Not Specified,Christian,55-59,Unemployed
2337,1,Coconut Squares,William,Joyce,18,Head,Divorced,Male,Student,Not Specified,Unknown,15-19,Student
8547,1,Webster Hill,Malcolm,Joyce,22,Unknown,Single,Male,University Student,Not Specified,Unknown,20-24,Tech
2921,1,Tannery Ways,Samuel,King,51,Partner,Single,Male,"Teacher, special educational needs",Not Specified,Unknown,50-54,Education
10274,1,Calendar Ports,Heather,Kirk,64,Head,Single,Female,Accommodation manager,Not Specified,Methodist,60-64,Management
9568,1,Dublin Avenue,Megan,Lawrence,21,Head,Single,Female,University Student,Not Specified,Catholic,20-24,Tech
6601,1,Bond Glen,Kayleigh,Lyons,62,Head,Single,Female,"Administrator, arts",Not Specified,Catholic,60-64,Education
8545,1,Webster Hill,Abigail,Mann,19,Head,Single,Female,University Student,Not Specified,Christian,15-19,Tech
1190,1,Winchester Field,Janet,Marshall,18,Head,Single,Female,University Student,Not Specified,Catholic,15-19,Tech
10434,1,Reynolds Keep,Jay,Matthews,6,Son,Minor,Male,Student,Not Specified,Unknown,5-9,Student
10432,1,Reynolds Keep,Annette,Matthews,23,Daughter,Divorced,Female,Risk manager,Not Specified,Unknown,20-24,Management
10433,1,Reynolds Keep,Danny,Matthews,23,Son,Single,Male,Garment/textile technologist,Not Specified,Unknown,20-24,Tech
10431,1,Reynolds Keep,Barry,Matthews,52,Husband,Married,Male,"Doctor, general practice",Not Specified,Unknown,50-54,Medical
10430,1,Reynolds Keep,Rachael,Matthews,55,Head,Married,Female,Nutritional therapist,Not Specified,Unknown,55-59,Medical
10455,1,Aberdeen Ranch,Caroline,Miller,58,Head,Married,Female,"Horticulturist, commercial",Not Specified,Unknown,55-59,Other
10456,1,Aberdeen Ranch,Gregory,Miller,60,Husband,Married,Male,Retail merchandiser,Not Specified,Unknown,60-64,Other
2842,1,Hereford Drive,Karl,Moore,17,Son,Minor,Male,Student,Not Specified,Christian,15-19,Student
2841,1,Hereford Drive,Craig,Moore,38,Husband,Married,Male,Building surveyor,Not Specified,Christian,35-39,Other
2840,1,Hereford Drive,Gail,Moore,40,Head,Married,Female,Immigration officer,Not Specified,Christian,40-44,Management
1172,1,Green Avenue,Kerry,Morgan,15,Daughter,Minor,Female,Student,Not Specified,Catholic,15-19,Student
1170,1,Green Avenue,Leah,Morgan,39,Head,Married,Female,Air traffic controller,Not Specified,Catholic,35-39,Other
1171,1,Green Avenue,Reece,Morgan,42,Unknown,Married,Male,Economist,Not Specified,Catholic,40-44,Finance
8218,1,Rhubarb Bypass,Carole,Moss,25,Head,Divorced,Female,Physiotherapist,Not Specified,Unknown,25-29,Medical
7001,1,Allan Mountains,Lawrence,Murphy,34,Son,Single,Male,Clinical psychologist,Not Specified,Unknown,30-34,Medical
7000,1,Allan Mountains,Maureen,Murphy,38,Daughter,Divorced,Female,Chief Technology Officer,Not Specified,Unknown,35-39,Tech
10408,1,Derby Chalet,Charlotte,Newton,67,Head,Married,Female,"Administrator, charities/voluntary organisations",Not Specified,Christian,65-69,Education
10409,1,Derby Chalet,Peter,Newton,67,Husband,Married,Male,"Lecturer, further education",Not Specified,Christian,65-69,Education
1690,1,The Street,Shirley,Norton,45,Head,Divorced,Female,Community arts worker,Not Specified,Unknown,45-49,Tech
989,1,Wilson Canyon,Ruth,O'Brien,18,Head,Single,Female,University Student,Not Specified,Christian,15-19,Tech
8410,1,Farthing Glens,Iain,O'Sullivan,24,Son,Single,Male,"Psychotherapist, child",Not Specified,Unknown,20-24,Medical
8409,1,Farthing Glens,Stephanie,O'Sullivan,26,Daughter,Single,Female,Medical laboratory scientific officer,Not Specified,Unknown,25-29,Medical
8407,1,Farthing Glens,Colin,O'Sullivan,50,Head,Married,Male,Engineering geologist,Not Specified,Unknown,50-54,Engineering
8408,1,Farthing Glens,Rebecca,O'Sullivan,50,Wife,Married,Female,Public relations account executive,Not Specified,Unknown,50-54,Management
10327,1,Stone Parkway,Philip,Oliver,41,Head,Single,Male,"Engineer, civil (consulting)",Not Specified,Unknown,40-44,Engineering
9224,1,Horseshoe Lakes,Charlie,Phillips,46,Head,Single,Male,Chief Executive Officer,Not Specified,Unknown,45-49,Management
4473,1,Parrot Plains,Michael,Price,18,Head,Married,Male,Student,Not Specified,Unknown,15-19,Student
4474,1,Parrot Plains,Jennifer,Price,19,Wife,Married,Female,University Student,Not Specified,Unknown,15-19,Tech
8546,1,Webster Hill,Francis,Pritchard,20,Head,Single,Male,University Student,Not Specified,Catholic,20-24,Tech
2373,1,Brightwater Street,Gillian,Randall,36,Daughter,Divorced,Female,Tree surgeon,Not Specified,Unknown,35-39,Medical
2372,1,Brightwater Street,Charlotte,Randall,39,Daughter,Single,Female,Statistician,Not Specified,Unknown,35-39,Other
2371,1,Brightwater Street,Victor,Randall,41,Son,Divorced,Male,"Psychologist, counselling",Not Specified,Unknown,40-44,Other
2370,1,Brightwater Street,Mark,Randall,61,Husband,Married,Male,Education administrator,Not Specified,Unknown,60-64,Education
2369,1,Brightwater Street,Victoria,Randall,63,Head,Married,Female,Travel agency manager,Not Specified,Unknown,60-64,Management
707,1,Phillips Alley,Christine,Randall,102,Head,Single,Female,"Retired Psychologist, counselling",Not Specified,Unknown,100+,Retired
3566,1,First Drive,Henry,Reid,20,Head,Single,Male,University Student,Not Specified,Unknown,20-24,Tech
849,1,Norris Shores,Elaine,Reid,21,Daughter,Single,Female,University Student,Not Specified,Christian,20-24,Tech
380,1,Powell Camp,Kenneth,Richards,38,Son,Single,Male,Exhibition designer,Not Specified,Unknown,35-39,Tech
379,1,Powell Camp,Ashleigh,Richards,40,Daughter,Divorced,Female,Private music teacher,Not Specified,Unknown,40-44,Education
377,1,Powell Camp,Jennifer,Richards,62,Head,Married,Female,Armed forces logistics/support/administrative officer,Not Specified,Unknown,60-64,Clerical
378,1,Powell Camp,Ronald,Richards,65,Husband,Married,Male,"Scientist, research (physical sciences)",Not Specified,Unknown,65-69,Science
10397,1,Williams Ranch,Owen,Roberts,5,Son,Minor,Male,Student,Not Specified,Catholic,5-9,Student
10396,1,Williams Ranch,Ross,Roberts,9,Son,Minor,Male,Student,Not Specified,Catholic,5-9,Student
10395,1,Williams Ranch,Deborah,Roberts,10,Daughter,Minor,Female,Student,Not Specified,Catholic,10-14,Student
10394,1,Williams Ranch,Ben,Roberts,14,Son,Minor,Male,Student,Not Specified,Catholic,10-14,Student
4117,1,Kielderbind Avenue,Philip,Roberts,32,Son,Single,Male,Museum/gallery exhibitions officer,Not Specified,Christian,30-34,Tech
10393,1,Williams Ranch,Anne,Roberts,45,Head,Divorced,Female,"Conservation officer, nature",Not Specified,Catholic,45-49,Management
